WeaponType	WeaponEffort	Weapon	Finessable
Martial	Two-Handed Melee Weapons	Lance	0
Martial	Two-Handed Melee Weapons	Monk�s spade	0
Martial	Two-Handed Melee Weapons	Naginata	0
Martial	Two-Handed Melee Weapons	Nodachi	0
Martial	Two-Handed Melee Weapons	Ogre hook	0
Martial	Two-Handed Melee Weapons	Pickaxe	0
Martial	Two-Handed Melee Weapons	Ranseur	0
Martial	Two-Handed Melee Weapons	Sansetsukon	0
Martial	Two-Handed Melee Weapons	Scythe	0
Martial	Two-Handed Melee Weapons	"Spear, syringe"	0
Martial	Two-Handed Melee Weapons	"Sword, tri-point double-edged"	0
Martial	Two-Handed Melee Weapons	Tiger fork	0
Martial	Two-Handed Melee Weapons	Greatsword	0
Martial	Ranged Weapons	Ammentum	0
Martial	Ranged Weapons	Chakram	0
Martial	Ranged Weapons	Hunga munga	0
Martial	Ranged Weapons	Longbow	0
Martial	Ranged Weapons	"Longbow, composite"	0
Martial	Ranged Weapons	Pilum	0
Martial	Ranged Weapons	Poisoned sand tube	0
Martial	Ranged Weapons	Shortbow	0
Martial	Ranged Weapons	"Shortbow, composite"	0
Martial	Ranged Weapons	Tube arrow shooter	0
Martial	Ammunition	"Arrow, Bamboo shaft (10)"	0
Martial	Ammunition	"Arrow, iron5tipped distance (20)"	0
Martial	Ammunition	"Arrow, whistling (20)"	0
Martial	Ammunition	"Arrow(s), bleeding (1)"	0
Martial	Ammunition	"Arrow(s), blunt (20)"	0
Martial	Ammunition	"Arrow(s), common (20)"	0
Martial	Ammunition	"Arrow(s), durable (1)"	0
Martial	Ammunition	"Arrow(s), dye (1)"	0
Martial	Ammunition	"Arrow(s), flight (20)"	0
Martial	Ammunition	"Arrow(s), lodestone (1)"	0
Martial	Ammunition	"Arrow(s), pheromone (1)"	0
Martial	Ammunition	"Arrow(s), raining (1)"	0
Martial	Ammunition	"Arrow(s), slow burn (1)"	0
Martial	Ammunition	"Arrow(s), smoke (1)"	0
Martial	Ammunition	"Arrow(s), splintercloud (1)"	0
Martial	Ammunition	"Arrow(s), tanglefoot (1)"	0
Martial	Ammunition	"Arrow(s), thistle (1)"	0
Martial	Ammunition	"Arrow(s), trip (1)"	0
Martial	Ammunition	"Arrow(s), whistling (20)"	0
Exotic	Light Melee Weapons	Aklys	0
Exotic	Light Melee Weapons	"Axe, knuckle"	0
Exotic	Light Melee Weapons	Barbazu beard	0
Exotic	Light Melee Weapons	Battle poi	0
Exotic	Light Melee Weapons	Bich�hwa	0
Exotic	Light Melee Weapons	"Dagger, swordbreaker"	0
Exotic	Light Melee Weapons	Dan bong	0
Exotic	Light Melee Weapons	Emei piercer	0
Exotic	Light Melee Weapons	Fighting fan	0
Exotic	Light Melee Weapons	Kama	0
Exotic	Light Melee Weapons	"Katar, tri5bladed"	0
Exotic	Light Melee Weapons	"Knife, butterfly"	0
Exotic	Light Melee Weapons	Madu (leather)	0
Exotic	Light Melee Weapons	Madu (steel)	0
Exotic	Light Melee Weapons	"Maulaxe, dwarven"	0
Exotic	Light Melee Weapons	Nunchaku	0
Exotic	Light Melee Weapons	Pata	0
Exotic	Light Melee Weapons	Quadrens	0
Exotic	Light Melee Weapons	Rope gauntlet	0
Exotic	Light Melee Weapons	Sai	0
Exotic	Light Melee Weapons	Siangham	0
Exotic	Light Melee Weapons	Sica	0
Exotic	Light Melee Weapons	Tekko5kagi (iron claw)	0
Exotic	Light Melee Weapons	Thorn bracer	0
Exotic	Light Melee Weapons	Wakizashi	0
Exotic	Light Melee Weapons	"Whip, scorpion"	1
Exotic	One-Handed Melee Weapons	"Axe, hooked"	0
Exotic	One-Handed Melee Weapons	Falcata	0
Exotic	One-Handed Melee Weapons	Flindbar	0
Exotic	One-Handed Melee Weapons	Katana	0
Exotic	One-Handed Melee Weapons	Khopesh	0
Exotic	One-Handed Melee Weapons	Nine-section whip	1
Exotic	One-Handed Melee Weapons	Rhoka	0
Exotic	One-Handed Melee Weapons	"Sabre, sawtooth"	0
Exotic	One-Handed Melee Weapons	Shotel	0
Exotic	One-Handed Melee Weapons	"Sword, Aldori dueling"	0
Exotic	One-Handed Melee Weapons	"Sword, bastard"	0
Exotic	One-Handed Melee Weapons	"Sword, temple"	0
Exotic	One-Handed Melee Weapons	Urumi	0
Exotic	One-Handed Melee Weapons	"Waraxe, dwarven"	0
Exotic	One-Handed Melee Weapons	Whip	1
Exotic	One-Handed Melee Weapons	Falcata	0
Exotic	 Two-Handed Melee Weapons	"Axe, orc double"	0
Exotic	 Two-Handed Melee Weapons	Battle Ladder	0
Exotic	 Two-Handed Melee Weapons	Bo staff	0
Exotic	 Two-Handed Melee Weapons	"Chain, spiked"	1
Exotic	 Two-Handed Melee Weapons	"Curve blade, elven"	0
Exotic	 Two-Handed Melee Weapons	"Dorn Dergar, dwarven"	0
Exotic	 Two-Handed Melee Weapons	Fauchard	0
Exotic	 Two-Handed Melee Weapons	"Flail, dire"	0
Exotic	 Two-Handed Melee Weapons	Flailpole	0
Exotic	 Two-Handed Melee Weapons	Flambard	0
Exotic	 Two-Handed Melee Weapons	Flying blade	0
Exotic	 Two-Handed Melee Weapons	Garrote	0
Exotic	 Two-Handed Melee Weapons	"Hammer, gnome hooked"	0
Exotic	 Two-Handed Melee Weapons	"Kama, double-chained"	0
Exotic	 Two-Handed Melee Weapons	"Katana, double walking stick"	0
Exotic	 Two-Handed Melee Weapons	Kusarigama (sickle and chain)	0
Exotic	 Two-Handed Melee Weapons	Kyoketsu shoge	0
Exotic	 Two-Handed Melee Weapons	Mancatcher	0
Exotic	 Two-Handed Melee Weapons	Meteor hammer	0
Exotic	 Two-Handed Melee Weapons	Piston maul	0
Exotic	 Two-Handed Melee Weapons	Ripsaw glaive	0
Exotic	 Two-Handed Melee Weapons	"Scarf, bladed"	0
Exotic	 Two-Handed Melee Weapons	"Spear, totem"	0
Exotic	 Two-Handed Melee Weapons	"Sword, seven-branched"	0
Exotic	 Two-Handed Melee Weapons	"Sword, Two-bladed"	0
Exotic	 Two-Handed Melee Weapons	Tetsubo	0
Exotic	 Two-Handed Melee Weapons	"Urgrosh, dwarven"	0
Exotic	Ranged Weapons	Bola	0
Exotic	Ranged Weapons	"Bola, Shoanti"	0
Exotic	Ranged Weapons	Boomerang	0
Exotic	Ranged Weapons	"Bow, thorn"	0
Exotic	Ranged Weapons	"Chakram, crystal"	0
Exotic	Ranged Weapons	"Crossbow, double"	0
Exotic	Ranged Weapons	"Crossbow, hand"	0
Exotic	Ranged Weapons	"Crossbow, launching"	0
Exotic	Ranged Weapons	"Crossbow, repeating"	0
Exotic	Ranged Weapons	"Crossbow, repeating heavy"	0
Exotic	Ranged Weapons	Flask Thrower	0
Exotic	Ranged Weapons	Lasso	0
Exotic	Ranged Weapons	Net	0
Exotic	Ranged Weapons	Rope dart	0
Exotic	Ranged Weapons	"Shield, throwing"	0
Exotic	Ranged Weapons	Shrillshaft javelin	0
Exotic	Ranged Weapons	Sling glove	0
Exotic	Ranged Weapons	"Sling staff, halfling"	0
Exotic	Ranged Weapons	"Sling, double"	0
Exotic	Ranged Weapons	"Sling, stitched"	0
Exotic	Ammunition	"Crossbow bolt(s), heavy/light/hand (10)"	0
Exotic	Ammunition	"Crossbow bolt(s), repeating, heavy/light (5)"	0
Exotic	Ammunition	Little starstones (10)	0
Exotic	Ammunition	Sharpstones (10)	0
Exotic	Ammunition	Shuriken (5)	0
Exotic	Ammunition	Softstones (10)	0
Exotic	Ammunition	Spongestones (10)	0
Exotic	Ammunition	Thorn (20)	0
